username,commits,additions,deletions,changes,number of repos
j-craig,1,2,2,4,1
AkshJain99,2,31,23,54,2
anton-lin,1,1,1,2,1
AuroreMariscal,1,7,2,9,1
jordic,42,2891,552,3443,4
bvishal8510,1,1,1,2,1
enfold-josh,1,11,9,20,1
rafrombrc,5,223,21,244,3
slinkp,3,6,4,10,1
strichter,2,21,0,21,2
mgedmin,5,485,91,576,2
Dnouv,1,3,2,5,1
bipoza,1,343,65,408,1
UnaiEtxaburu,1,27,18,45,1
jimbiscuit,89,5420,1190,6610,2
MarcoCouto,1,3,0,3,1
achimwilde,1,4,1,5,1
aryamanpuri,1,1,0,1,1
sumukhah,1,3,0,3,1
tareqalam,1,1,0,1,1
sboghy,2,604,665,1269,1
1bsilver,2,5,1,6,1
AlexBueckig,2,381,2,383,1
damiDev8,2,342,20,362,1
dobri1408,3,136,3,139,1
mihaislobozeanu,3,316,937,1253,1
SaraBianchi,3,79,7,86,1
rexalex,4,3516,1150,4666,1
danielamormocea,5,843,661,1504,1
ThomasKindermann,7,1558,1713,3271,1
VaysseB,7,235,7,242,1
kreafox,10,6059,968,7027,1
silviubogan,12,6277,2492,8769,1
iRohitSingh,21,964,1234,2198,1
ktsrivastava29,36,21844,21872,43716,1
giuliaghisini,125,31302,9614,40916,1
bhaveshgohel,1,1,1,2,1
thompsonemerson,1,1,1,2,1
sahildua2305,1,1,1,2,1
posva,1,1,1,2,1
louis993546,1,1,1,2,1
bokuweb,1,1,1,2,1
galeksandrp,1,1,1,2,1
clemens-tolboom,1,3,3,6,1
icoxfog417,1,1,1,2,1
laiso,1,1,1,2,1
phanect,1,41,22,63,1
fscherwi,1,1,1,2,1
zanesterling,1,1,1,2,1
IonicaBizau,1,1,1,2,1
tcyrus,3,8,5,13,1
zeke,6,27,27,54,1
kevinsawicki,7,10,12,22,1
jlord,19,185,34,219,1
dmanchon,3,253,96,349,3
psanlorenzo,1,4,1,5,1
marcus29200,1,4,1,5,1
WnP,2,1,3,4,2
leplatrem,1,64,64,128,1
waghanza,2,5,3,8,1
pfreixes,2,19,8,27,1
inakip,2,159,9,168,1
jotare,3,12,5,17,1
nilbacardit26,15,572,95,667,2
hirokiky,9,98,86,184,2
Qiwn,18,498,151,649,2
cdevienne,11,293,37,330,2
karannaoh,11,1417,27070,28487,1
rboixaderg,17,311,89,400,1
lferran,69,1425,1098,2523,3
masipcat,228,6231,4210,10441,5
lellex,1,1,1,2,1
simon-previdente,1,1,1,2,1
shentonfreude,2,24,13,37,1
acatlla,6,1569,1621,3190,1
zshashz,2,5,2,7,1
LuisPalomo,1,30,1,31,1
raul-onna,1,10,2,12,1
faustoonna,10,466,266,732,1
jlp0328,15,1563,442,2005,1
niglesiaszingoni,15,1998,772,2770,1
dgsmith2,16,2864,508,3372,1
barcafa,17,607,22774,23381,1
julienCarret,87,11857,4905,16762,1
mpellerin42,142,108837,61354,170191,1
ionutgrigorescu,4,439,35,474,1
gitcarbs,1,42,12,54,1
NereaDM,10,689,95,784,1
thefunny42,6,253,103,356,1
dwt,1,33,5,38,1
aashimgarg,1,24,372,396,1
thomlamb,2,48,2,50,1
